,ScrapedName,ticker,Capitalización de mercado (intradía),Valor de empresa,P/E últimos 12 meses,Precio/beneficio anticipado,Ratio PEG (5 años previstos),Precio/ventas,Precio/valor,Valor/Ingresos de la empresa,Valor/EBITDA de empresa,Año fiscal finalizado,Trimestre más reciente,Margen de beneficios,Margen de explotación,Rentabilidad económica,Rentabilidad financiera,Ingresos,Beneficios por acción,Aumento trimestral de ingresos (interanual),Beneficio bruto,EBITDA,Ingresos netos disponibles,BPA diluido,Aumento trimestral de ganancias (interanual),Efectivo total,Efectivo total por acción,Endeudamiento total,Endeudamiento/Patrimonio total,Coeficiente de solvencia,Valor teórico contable por acción,Flujo de caja de explotación,Flujo de efectivo apalancado,Beta (5 años al mes),Cambio en 52 semanas,Cambio en 52 semanas de S&P 500,Máximo de 52 semanas,Mínimo de 52 semanas,Media móvil de 50 sesiones,Media móvil de 200 sesiones,Vol medio (3 meses),Vol medio (10 días),Acciones en circulación,Capital flotante,% de personas con información privilegiada,% de instituciones,Acciones en corto,Parcial corto,% en corto de capital flotante,% en corto de acciones en circulación,Acciones en corto (mes anterior ),Previsión de la tasa anual de dividendos,Previsión de la rentabilidad anual por dividendo,Cambio de dividendo anual de los últimos 12 meses,Rentabilidad por dividendo de los últimos 12 meses,Rentabilidad por dividendo de los últimos 5 años,Ratio de distribución de dividendos,Fecha del dividendo,Fecha de exdividendo,Último factor del split,Última fecha del split,Sector
42,VOCENTO (VOC.MC),VOC.MC,135230000.0,254040000.0,22.4,0.0,0.0,0.34,0.64,0.64,6.15,31 dic. 2019,31 dic. 2019,0.0159,0.0563,0.028999999999999998,0.044800000000000006,393580000.0,3.15,0.0,206070000.0,41330000.0,6250000.0,0.05,0.0,17700000.0,0.14,63310000.0,22.44,0.91,1.75,34730000.0,21000000.0,0.0,-0.231,0.0,1.47,1.08,1.1643,1.2145,43400.0,49180.0,120740000.0,64050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.032,0.0,0.0292,0.0,0.4475,0,12 may. 2020,0.0,0.0,Communication Services
43,"TELEFONICA,S.A. (TEF.MC)",TEF.MC,27860000000.0,86510000000.0,31.93,6.54,0.38,0.56,1.6,1.75,6.77,31 dic. 2019,31 dic. 2019,0.0232,0.109,0.0288,0.0635,49310000000.0,9.63,0.0,29460000000.0,12770000000.0,860000000.0,0.17,0.0,8430000000.0,1.65,59590000000.0,234.15,0.81,3.35,15020000000.0,3720000000.0,0.96,-0.2884,0.0,7.9,5.24,6.12,6.53,32880000.000000004,32630000.000000004,5190000000.0,5100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.07490000000000001,0.0,0.0757,0.0,2.3529,0,17 dic. 2019,0.0,0.0,0
44,"AMPER, S.A. (AMP.MC)",AMP.MC,252240000.0,237270000.0,11.82,0.0,0.0,1.37,4.3,1.29,8.39,31 dic. 2019,31 dic. 2019,0.11230000000000001,0.11660000000000001,0.0791,0.4325,183670000.0,0.18,0.0,115480000.0,28290000.0,20630000.0,0.02,0.0,28890000.0,0.03,16399999.999999998,27.62,1.02,0.05,69390000.0,40910000.0,1.29,-0.1231,0.0,0.304,0.225,0.2691,0.2707,3510000.0,5660000.0,1070000000.0000001,932450000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,01 jul. 2009,0.0,0.0,0
45,CLINICA BAVIERA S.A. (CBAV.MC),CBAV.MC,200510000.0,211670000.0,15.57,0.0,0.0,1.61,6.51,1.7,8.7,31 dic. 2019,31 dic. 2019,0.10289999999999999,0.14730000000000001,0.14550000000000002,0.43320000000000003,124330000.0,7.68,0.0,61950000.0,24330000.0,12790000.0,0.79,0.0,6490000.0,0.4,12260000.0,39.79,0.4,1.89,25400000.0,23810000.0,0.42,-0.052199999999999996,0.0,14.85,11.95,13.1,13.55,2110.0,2930.0,16300000.0,1640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.045700000000000005,0.0,0.045700000000000005,0.0,0.7572,0,11 jun. 2019,0.0,0.0,Healthcare
46,0,GAM.MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0
47,"AMADEUS IT GROUP, S.A. (AMS.MC)",AMS.MC,27000000000.0,30120000000.0,24.28,23.46,4.99,4.85,7.18,5.41,13.49,31 dic. 2019,31 dic. 2019,0.1998,0.26489999999999997,0.0898,0.3186,5570000000.0,12.91,0.0,2600000000.0,2230000000.0,1110000000.0,2.58,0.0,575300000.0,1.33,3570000000.0,94.12,0.49,8.72,1800000000.0,863170000.0,0.0,-0.042800000000000005,0.0,78.82,58.22,72.51,69.98,1660000.0,2520000.0,431020000.0,433350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0196,0.0,0.0105,0.0,0.4554,0,15 ene. 2020,0.0,0.0,Technology
48,"EDREAMS ODIGEO, S.A. (EDR.MC)",EDR.MC,410820000.0,770030000.0,9.42,0.0,0.0,0.69,0.91,1.29,6.79,31 mar. 2019,31 dic. 2019,0.081,0.1703,0.0525,0.1128,596000000.0,5.43,0.0,470690000.0,113390000.0,48290000.0,0.396,0.0,71690000.0,0.65,436730000.0,96.41,0.54,4.11,115550000.0,72890000.0,1.89,0.3188,0.0,5.46,2.455,4.7569,4.2378,122480.0,304870.0,110140000.0,57790000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Consumer Cyclical
49,0,NAT.MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0
50,"RENTA 4 BANCO, S.A. (R4.MC)",R4.MC,254820000.0,-877320000.0,14.31,0.0,0.0,1.69,2.47,-5.81,0.0,31 dic. 2019,31 dic. 2019,0.11800000000000001,0.1392,0.0113,0.1749,151120000.0,3.72,0.0,86680000.0,0.0,17830000.0,0.44,0.0,1170000000.0,28.87,30740000.0,29.49,1.16,2.55,244850000.0,0.0,0.3,-0.16579999999999998,0.0,7.78,6.26,6.73,6.76,4310.0,4980.0,40580000.0,13540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0617,0.0,0.0435,0.0,0.7504000000000001,0,21 nov. 2019,0.0,0.0,Financial Services
51,"REPSOL,  S.A. (REP.MC)",REP.MC,16270000000.0,26970000000.0,0.0,6.84,-65.5,0.38,0.62,0.63,8.46,31 dic. 2019,31 dic. 2019,-0.0898,0.026000000000000002,0.0116,-0.135,42480000000.0,27.44,0.0,11380000000.0,3190000000.0,-3840000000.0,-2.48,0.0,5950000000.0,4.0,17470000000.0,69.29,1.09,16.78,4850000000.0,-222880000.0,1.12,-0.3146,0.0,15.66,9.97,12.56,13.8,8880000.0,19620000.0,1570000000.0,1350000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0909,0.0,0.0976,0.0,0.0,0,17 dic. 2019,0.0,0.0,Energy
